info.brochures.destination,info.brochures.hotel,info.brochures.tour.operator,info.travel.agent,info.tourist.centre,info.advertising.newspapers,info.travel.guides,info.friends.relatives,info.work.colleagues,info.radio,info.TV,info.internet,info.exhibitions,info.slide.nights,book.internet,book.phone,book.at.destination,book.travel.agent,book.other,book.someone.else,spendpppd,TV.channel
1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,Pay TV
1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,25,Channel 7 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1.07142857142857,Channel 7 (National)
1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,NA,Pay TV
1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,33.3333333333333,Channel 9 (National)
0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,750,ABC (National)
0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,22.2222222222222,Channel 10 (National)
1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,NA,Channel 7 (National)
1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,45,Pay TV
1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,13.8888888888889,Channel 9 (National)
1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,83.3333333333333,Pay TV
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,125,Channel 7 (National)
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,17.8571428571429,ABC (National)
1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,25,Regional programs on national channels
0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4.31818181818182,Channel 9 (National)
1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,3.47222222222222,Pay TV
1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,28.5714285714286,Channel 7 (National)
1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,60.8333333333333,Pay TV
0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1.66666666666667,ABC (National)
1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,41.6666666666667,Pay TV
0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,33.3333333333333,Channel 10 (National)
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,16.6666666666667,Channel 10 (National)
1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,81.25,Channel 10 (National)
1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,62.5,Channel 7 (National)
